asset_id,barcode id,date/time of planting,longitude,latitude,family,genus,species,planter,height,number of leaves,image url,notes
,t1eXT8bCnuAVTErsjUnFhLCsh3KhHyBfn5k,24/06/20 02:04,-21.29434515,47.55254783,Phyllanthaceae,Bridelia,Tulasneana,Andriamahafaly_Guy_Thony,34,11,https://drive.google.com/open?id=174NYe94fJneVf9G1shNHAG6p227L0wNZ,
,t1LTEMhAnguWsYEi9AvBkAMFUb11GaPGKi3,24/06/20 02:08,-21.29434818,47.55254258,Phyllanthaceae,Bridelia,Tulasneana,Andriamahafaly_Guy_Thony,27.5,11,https://drive.google.com/open?id=1HrizDpzlAMd2qt5i7mI-7ZL2EffPQ9KT,
,t1aHQkALVd2Qw28JiieeAeczqFFBbjcEXG6,24/06/20 02:16,-21.2942918,47.5524592,Phyllanthaceae,Bridelia,Tulasneana,One of the planters,69,16,https://drive.google.com/open?id=1JEFp0o3L8EyS86Y59DA8q0wFVKD74q8h,
,t1RdmPTwQTRVGykES3ZyGEm5NrH31cDKue5,24/06/20 02:18,-21.29425995,47.55250981,Phyllanthaceae,Bridelia,Tulasneana,Other,21.2,8,https://drive.google.com/open?id=1cTZjRVIxE_hPyvb9uxkqdAweuG3uouOq,
,t1TLdkc583iuv5Lq3fh5PdMfy3Q39GABdLv,24/06/20 02:31,-21.29428785,47.55238161,Phyllanthaceae,Bridelia,Tulasneana,Other,31.5,13,https://drive.google.com/open?id=1FvdbE0-Md4bWV33wGUQu7xcA4kL3_-q2,
,t1VVrt36p3QkqfxN8FQw5upgT2QwYFBSh5B,24/06/20 02:33,-21.2942926,47.5523787,Phyllanthaceae,Bridelia,Tulasneana,Other,66.2,17,https://drive.google.com/open?id=1vDKYSDrKkzXVHt62IuZSZRqWchPWsrlO,
,t1eS6VE2PLdPDcwmmcUEsxCRSty1yEuYg8f,24/06/20 02:34,-21.29424177,47.55234825,Phyllanthaceae,Bridelia,Tulasneana,Other,20.5,9,https://drive.google.com/open?id=1pmL_W6zJrEA_uoSuw4Vg84m0k3cjGq8t,
,6646211,24/06/20 02:36,-21.29431199,47.55240578,Phyllanthaceae,Bridelia,Tulasneana,,51,12,https://drive.google.com/open?id=1teLBgdgVwuFfHrfZDygP64i7_t96rKgn,
,t1RHF5wyK4abD8oZduEPR6v6siKqf7EhSZz,24/06/20 02:38,-21.29427603,47.55234661,Phyllanthaceae,Bridelia,Tulasneana,,45,13,https://drive.google.com/open?id=1cAzqLaGhjebMo0p-zKY8ZrrqPM4sVJ55,
,t1SckkRZ6Q1YQBMU14mgQpCbxLpnBEZjmPA,24/06/20 02:39,-21.29429063,47.55230092,Phyllanthaceae,Bridelia,Tulasneana,Other,43.2,11,https://drive.google.com/open?id=1gXq4yXhrrDrZnBsIEak5A9jZ_IqPKxv8,
,t1N9q9ckNFxGr4TgUgGWoSAA5jpsjmoRpD8,24/06/20 02:23,-21.29423188,47.55247289,Burseraceae,Canarium,madagascascariensis ,Other,44.6,3,https://drive.google.com/open?id=1hH7Bxj7tpFJtzfuLPE-sMXQUfIAVRfT6,
,t1U4FFYeKrrUXLoCTLbTsQN53rK57dVrVcp,24/06/20 02:25,-21.2943045,47.5524692,Burseraceae,Canarium,madagascascariensis,,58.2,4,https://drive.google.com/open?id=1YxeS05g5iH2JBipjIhVzvS0g9ujNQo_r,
,t1XtGDgKWcraCm6Kv1mX3iSPJ2gcYHWYC1Y,24/06/20 02:28,-21.29423538,47.55241706,Burseraceae,Canarium,madagascascariensis,Other,41,3,https://drive.google.com/open?id=1lokbv-dPN6-RQuUBzRu1ppuME4adrh2L,
,t1PMzx1q6kBULzF6HxoR6FnuEFU3UKddWdU,24/06/20 02:29,-21.29430767,47.55240549,Burseraceae,Canarium,madagascascariensis,,48.5,3,https://drive.google.com/open?id=1Ds4rNi97kyRYrxPcqlSFueIHHdKTVT3e,
,t1gdn1Ldz1RPodNv9HapnjS1bWpfeZNwcSC,24/06/20 02:00,-21.29434311,47.5525494,Proteaceae,Dilobeia,thouarsii,Andriamahafaly_Guy_Thony,16.8,8,https://drive.google.com/open?id=17VJ36JczbvfKzjEUAcT9SRG-aByWYs9h,
,t1ZCuNfnNCHtSYWnkeDMsKuGhf1BDZQRuqW,24/06/20 02:02,-21.29420575,47.55257185,Proteaceae,Dilobeia,thouarsii,Andriamahafaly_Guy_Thony,39.5,10,https://drive.google.com/open?id=1SvlDCsiIejCNqvuxUtfKcwved9rjbcTi,
,t1UuSuXD6kGqaagfqV6B3SGEe1Az8S8bqrh,24/06/20 02:10,-21.29434599,47.55247546,Proteaceae,Dilobeia,thouarsii,Andriamahafaly_Guy_Thony,32.5,13,https://drive.google.com/open?id=1VDIX-3_BwW9-0tnlgkZgAmE-LFxS6qe6,
,t1RZ3sXp7P9d43WmseKYHnHTqvFdrQjz9NV,24/06/20 02:12,-21.29429242,47.55254889,Proteaceae,Dilobeia,thouarsii,Andriamahafaly_Guy_Thony,37.3,15,https://drive.google.com/open?id=1eEJpjwcfu5TkIsefqV2dDeMmhJieC5UT,
,t1SP7FxFaMv4xrEpx4e6YiBn5MmQgp5jgFk,24/06/20 02:41,-21.2942824,47.5523153,Proteaceae,Dilobeia,thouarsii,Other,51.4,26,https://drive.google.com/open?id=1AGmVeYianafIhztMEDMYURLS3rkiup1n,
,t1KQDKAf2Q5EBYcJrGJq2Kc9GEbvb4Yz9LQ,24/06/20 02:43,-21.29426013,47.5523231,Proteaceae,Dilobeia,thouarsii,Other,28,10,https://drive.google.com/open?id=15jU4y9xm6RJZmessHrXJttrW4NFXCKEZ,
,6598297,24/06/20 02:48,-21.29428072,47.55228037,Proteaceae,Dilobeia,thouarsii,Other,65,16,https://drive.google.com/open?id=1NZu4eYFnYIbYUmXq4IM-HTN49XYQWAHw,
,t1TD1rsptg6gezpHLHUrxb4rXAh6dQK8azM,24/06/20 02:49,-21.29425532,47.55222453,Proteaceae,Dilobeia,thouarsii,,32.4,23,https://drive.google.com/open?id=1FBfex1mkksSM1dgzKpkHG7fKRnif3eMP,
,t1eFjJ6rE6VeAxvFkTY3a1PAgL9JuH5NnRQ,24/06/20 02:52,-21.29426482,47.55221286,Proteaceae,Dilobeia,thouarsii,Other,50.4,18,https://drive.google.com/open?id=12B2wv0D7Bv3HHUIUPAJaGsOrd14ncPLY,
,t1ZtBaBK6qqUunCB3G7mXdMJMKXzgrxWsYE,24/06/20 02:55,-21.29432414,47.5521961,Proteaceae,Dilobeia,thouarsii,Other,50.8,28,https://drive.google.com/open?id=1Db4WE8OxpsazUl5mzfmxgdTKkqF9QjeP,
,t1L6Pj6HcquPsLapVQZP7CmZRsbExuW7Zdq,24/06/20 02:56,-21.29432512,47.55232,Proteaceae,Dilobeia,thouarsii,Other,50,16,https://drive.google.com/open?id=1qx3fQexEzGreuV60UQXqU7C8SAEf0wC9,
,t1cu3ejRjdNga8CfQUGhuKkYEsZfdHvuSN6,24/06/20 02:14,-21.29432979,47.55248303,Proteaceae,Dilobeia,thouarsii,Andriamahafaly_Guy_Thony,21,11,https://drive.google.com/open?id=1FFwwNW7asphdRosryTblBkX_LVWj40NO,
